state,year,year_index,ipc_crimes,sll_crimes,total_crimes,growth_rate,avg_3yr_ipc,ipc_sll_ratio
Himachal Pradesh,2005,2,12345,4491,16836,0.001541457082589648,12227.333333333334,2.7488309953239813
Himachal Pradesh,2006,3,13093,5003,18096,0.06059133252328878,12588.0,2.6170297821307216
Himachal Pradesh,2007,4,14222,3665,17887,0.08622928282288246,13220.0,3.8804911323328786
Himachal Pradesh,2008,5,13976,4067,18043,-0.01729714526789481,13763.666666666666,3.436439636095402
Himachal Pradesh,2009,6,13315,4103,17418,-0.04729536348025186,13837.666666666666,3.2451864489398003
Himachal Pradesh,2010,7,13049,3760,16809,-0.019977469019902366,13446.666666666666,3.470478723404255
Himachal Pradesh,2011,8,14312,4563,18875,0.09678902597900223,13558.666666666666,3.1365329826868287
Himachal Pradesh,2012,9,12557,3380,15937,-0.12262437115707099,13306.0,3.7150887573964497
Himachal Pradesh,2013,10,13750,1983,15733,0.09500676913275465,13539.666666666666,6.9339384770549675
Himachal Pradesh,2014,11,14160,2962,17122,0.029818181818181817,13489.0,4.7805536799459825
Himachal Pradesh,2015,12,14007,3214,17221,-0.010805084745762712,13972.333333333334,4.358120721841941
Himachal Pradesh,2016,13,13386,3863,17249,-0.04433497536945813,13851.0,3.4651825006471655
Himachal Pradesh,2017,14,13007,4789,17796,-0.028313163006125804,13466.666666666666,2.716015869701399
Himachal Pradesh,2018,15,14604,4990,19594,0.1227800415161067,13665.666666666666,2.9266533066132263
Himachal Pradesh,2019,16,14480,5444,19924,-0.008490824431662557,14030.333333333334,2.659808963997061
Himachal Pradesh,2020,17,14803,5827,20630,0.022306629834254143,14629.0,2.540415308048739
Jharkhand,2003,0,32203,2024,34227,0.0,32203.0,15.910573122529645
Jharkhand,2004,1,31439,1729,33168,-0.02372449771760395,31439.0,18.183342972816657
Jharkhand,2005,2,35175,3419,38594,0.11883329622443461,32939.0,10.288095934483767
Jharkhand,2006,3,36364,2536,38900,0.033802416488983654,34326.0,14.339116719242902
Jharkhand,2007,4,38489,2697,41186,0.05843691563084369,36676.0,14.271041898405636
Jharkhand,2008,5,38686,3170,41856,0.005118345501312063,37846.333333333336,12.20378548895899
Jharkhand,2009,6,37436,3635,41071,-0.03231143049165073,38203.666666666664,10.298762035763412
Jharkhand,2010,7,38889,3932,42821,0.03881290736189764,38337.0,9.890386571719226
Jharkhand,2011,8,35838,3665,39503,-0.07845406155982411,37387.666666666664,9.778444747612552
Jharkhand,2012,9,40946,4490,45436,0.1425302751269602,38557.666666666664,9.119376391982183
Jharkhand,2013,10,48208,5900,54108,0.1773555414448298,41664.0,8.170847457627119
Jharkhand,2014,11,23848,6321,30169,-0.5053103219382675,37667.333333333336,3.7728207562094607
Jharkhand,2015,12,45050,7861,52911,0.8890472995639047,39035.333333333336,5.73082305050248
Jharkhand,2016,13,40710,7107,47817,-0.09633740288568257,36536.0,5.728155339805825
Jharkhand,2017,14,44595,8069,52664,0.09543109801031688,43451.666666666664,5.526707150824142
Jharkhand,2018,15,45287,10377,55664,0.015517434689987666,43530.666666666664,4.364170762262696
Jharkhand,2019,16,50048,12158,62206,0.10512950736414424,46643.333333333336,4.1164665240993585
Jharkhand,2020,17,51033,12537,63570,0.019681106138107418,48789.333333333336,4.070591050490548
Karnataka,2003,0,112405,15576,127981,0.0,112405.0,7.216551104262969
Karnataka,2004,1,114440,15378,129818,0.018104176860459942,114440.0,7.441799973988815
Karnataka,2005,2,117580,17097,134677,0.027437958755679833,114808.33333333333,6.877229923378371
Karnataka,2006,3,117710,15729,133439,0.001105630209219255,116576.66666666667,7.483628965604933
Karnataka,2007,4,120606,16046,136652,0.024602837481947158,118632.0,7.516265736008974
Karnataka,2008,5,127540,19651,147191,0.057492993715072216,121952.0,6.490254948857564
Karnataka,2009,6,134042,17225,151267,0.05098008467931629,127396.0,7.781828737300436
Karnataka,2010,7,142322,16174,158496,0.061771683502185884,134634.66666666666,8.79943118585384
Karnataka,2011,8,137600,17233,154833,-0.033178285858827164,137988.0,7.984680554749608
Karnataka,2012,9,134021,17795,151816,-0.02601017441860465,137981.0,7.531385220567575
Karnataka,2013,10,136689,22710,159399,0.019907327956066586,136103.33333333334,6.01889035667107
Karnataka,2014,11,137338,25665,163003,0.0047480045943711635,136016.0,5.351178647964153
Karnataka,2015,12,138847,32019,170866,0.010987490716334881,137624.66666666666,4.336394016052968
Karnataka,2016,13,148402,31077,179479,0.06881675513334821,141529.0,4.775300061138463
Karnataka,2017,14,146354,37709,184063,-0.013800353094971766,144534.33333333334,3.8811424328409663
Karnataka,2018,15,126534,36882,163416,-0.13542506525274334,140430.0,3.430779241906621
Karnataka,2019,16,120165,43526,163691,-0.05033429750106691,131017.66666666667,2.7607636814777377
Karnataka,2020,17,106350,43730,150080,-0.11496692048433405,117683.0,2.4319689000686027
Kerala,2003,0,98824,41055,139879,0.0,98824.0,2.407112410181464
Kerala,2004,1,104025,52110,156135,0.0526289160527807,104025.0,1.996257915947035
Kerala,2005,2,104350,57821,162171,0.0031242489786109107,102399.66666666667,1.8047076321751612
Kerala,2006,3,105255,54176,159431,0.008672735984666986,104543.33333333333,1.942834465445954
Kerala,2007,4,108530,88726,197256,0.031114911405633938,106045.0,1.223204021369159
Kerala,2008,5,110620,141788,252408,0.01925734819865475,108135.0,0.7801788585775947
Kerala,2009,6,118369,166374,284743,0.07005062375700596,112506.33333333333,0.7114633296067895
Kerala,2010,7,148313,225458,373771,0.2529716395339996,125767.33333333333,0.657829839704069
Kerala,2011,8,172137,246633,418770,0.16063325534511472,146273.0,0.6979479631679459
Kerala,2012,9,158989,352289,511278,-0.07638102209286789,159813.0,0.4513027656270846
Kerala,2013,10,176334,406848,583182,0.10909559780865342,169153.33333333334,0.43341493629070316
Kerala,2014,11,206789,403576,610365,0.17271201243095488,180704.0,0.512391718040716
Kerala,2015,12,257074,396334,653408,0.24317057483715285,213399.0,0.6486296911191066
Kerala,2016,13,260097,447773,707870,0.011759259979616764,241320.0,0.5808679844474768
Kerala,2017,14,235846,417654,653500,-0.09323829186803385,251005.66666666666,0.5646923051138023
Kerala,2018,15,186958,325209,512167,-0.20728780644997158,227633.66666666666,0.5748856888954488
Kerala,2019,16,175810,277273,453083,-0.05962836572920121,199538.0,0.6340682287853487
Kerala,2020,17,149099,405625,554724,-0.15193106194186906,170622.33333333334,0.3675784283513097
Madhya Pradesh,2003,0,191078,162825,353903,0.0,191078.0,1.173517580224167
Madhya Pradesh,2004,1,196867,201118,397985,0.030296528119406734,196867.0,0.9788631549637526
Madhya Pradesh,2005,2,189172,227901,417073,-0.03908730259515307,192372.33333333334,0.830062176120333
Madhya Pradesh,2006,3,194711,183669,378380,0.029280231746770136,193583.33333333334,1.0601190184516711
Madhya Pradesh,2007,4,202386,196849,399235,0.039417392956741015,195423.0,1.0281281591473668
Madhya Pradesh,2008,5,206556,184452,391008,0.020604191989564497,201217.66666666666,1.1198360549085942
Madhya Pradesh,2009,6,207762,127778,335540,0.0058386103526404465,205568.0,1.6259606505032165
Madhya Pradesh,2010,7,214269,129574,343843,0.03131949057094175,209529.0,1.653641934338679
Madhya Pradesh,2011,8,217094,118319,335413,0.01318436171354699,213041.66666666666,1.8348194288322248
Madhya Pradesh,2012,9,220335,104510,324845,0.01492901692354464,217232.66666666666,2.108267151468759
Madhya Pradesh,2013,10,227453,91191,318644,0.03230535321215422,221627.33333333334,2.494248335910342
Madhya Pradesh,2014,11,272423,101746,374169,0.19771117549559689,240070.33333333334,2.6774811786212727
Madhya Pradesh,2015,12,268614,89891,358505,-0.01398193250936962,256163.33333333334,2.988219065312434
Madhya Pradesh,2016,13,264418,100736,365154,-0.015620928172023795,268485.0,2.6248610228716647
Madhya Pradesh,2017,14,269512,110170,379682,0.01926495170525456,267514.6666666667,2.4463284015612237
Madhya Pradesh,2018,15,248354,156775,405129,-0.07850485321618332,260761.33333333334,1.5841428799234571
Madhya Pradesh,2019,16,246470,149149,395619,-0.007585945867592227,254778.66666666666,1.6525085652602431
Madhya Pradesh,2020,17,283881,144165,428046,0.15178723576905911,259568.33333333334,1.9691395276245969
Maharashtra,2003,0,164306,174606,338912,0.0,164306.0,0.9410100454738096
Maharashtra,2004,1,176302,169317,345619,0.07301011527272284,176302.0,1.0412539792224054
Maharashtra,2005,2,187027,142293,329320,0.06083311590339304,175878.33333333334,1.3143794845846246
Maharashtra,2006,3,191788,129397,321185,0.025456217551476524,185039.0,1.482167283630996
Maharashtra,2007,4,195707,120310,316017,0.02043402089807496,191507.33333333334,1.62668938575347
Maharashtra,2008,5,206243,120138,326381,0.05383558074059691,197912.66666666666,1.7167174416088165
Maharashtra,2009,6,199598,135418,335016,-0.03221927532085937,200516.0,1.4739399488989646
Maharashtra,2010,7,208168,127940,336108,0.042936301966953576,204669.66666666666,1.6270751914960138
Maharashtra,2011,8,204902,130222,335124,-0.015689250989585336,204222.66666666666,1.573482207307521
Maharashtra,2012,9,202700,130980,333680,-0.01074660081404769,205256.66666666666,1.5475645136662086
Maharashtra,2013,10,234385,124124,358509,0.15631475086334484,213995.66666666666,1.8883132996036223
Maharashtra,2014,11,249834,134981,384815,0.06591292104870192,228973.0,1.8508827168268127
Maharashtra,2015,12,275414,147765,423179,0.10238798562245331,253211.0,1.8638649206510338
Maharashtra,2016,13,261714,169152,430866,-0.049743295547793505,262320.6666666667,1.5472119750283768
Maharashtra,2017,14,288879,178874,467753,0.10379651069488068,275335.6666666667,1.6149859677762
Maharashtra,2018,15,346291,169383,515674,0.19874064919914566,298961.3333333333,2.044425945933181
Maharashtra,2019,16,341084,168349,509433,-0.015036486654287867,325418.0,2.0260530208079643
